Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
9.722600	0.000035	0.000825	-0.000525	-0.000055	0.000782	-0.000323	0.000105	0.000414	-0.000264	0.000546	-0.000189	0.001603
9.721900	0.001317	-0.000023	0.000579	0.000199	0.000850	0.000002	-0.000860	0.001367	0.000625	-0.000282	0.000716	0.000745
9.721200	0.000261	0.000049	0.000292	-0.000210	0.001504	0.000372	-0.000858	0.000851	0.000330	-0.000426	-0.000372	0.001735
9.720500	-0.000474	0.000372	-0.000716	-0.000116	0.000318	-0.000458	0.000090	0.001062	0.000621	-0.000269	-0.000837	0.000904
9.719800	0.000393	-0.000106	0.000820	0.000656	0.000021	-0.000138	-0.000142	0.000750	0.001115	0.000787	0.000408	0.000944
9.719100	-0.000287	0.000130	0.000498	0.000067	-0.000234	0.000480	0.000166	0.002109	-0.000129	0.000654	-0.000481	0.000584
9.718400	-0.000226	-0.000201	0.000125	0.000106	-0.000455	0.000495	-0.000446	0.000644	-0.000186	0.000814	-0.001092	0.000344
9.717700	0.000453	-0.000293	-0.000021	0.000580	0.000007	-0.000255	0.000194	-0.000357	-0.000143	0.000284	-0.000369	-0.000085
9.717000	0.000060	-0.000082	0.000215	0.000669	-0.000151	-0.000045	-0.000135	-0.000379	0.000960	0.000716	0.000169	0.000239
9.716300	-0.000174	0.000478	-0.000117	0.000364	0.001189	0.000079	-0.000760	-0.000159	0.000748	0.000238	0.000023	0.000597
9.715600	-0.000748	0.000219	-0.000037	-0.000661	0.000543	-0.000539	-0.001636	-0.000946	0.000764	-0.000342	-0.000285	-0.000046
9.714900	0.000282	0.001138	-0.000353	-0.000152	-0.000785	-0.000013	-0.000395	-0.001553	-0.000314	0.000168	-0.001001	-0.000451
9.714200	0.000522	0.000007	0.000021	-0.000534	-0.001484	-0.000166	-0.000610	-0.000847	0.000685	-0.000132	0.000586	0.000175
9.713500	0.000496	0.001267	0.001195	-0.000377	-0.000876	-0.000844	-0.000575	-0.000493	-0.000636	-0.000236	-0.000291	-0.000080
9.712800	0.001248	-0.000374	0.000481	-0.000243	-0.000014	0.000045	-0.000499	-0.000457	-0.000681	-0.000172	0.000733	-0.000687
9.712100	0.001902	0.000361	0.000158	0.000039	-0.000367	-0.000624	-0.000728	0.000106	-0.001038	0.000679	0.000572	-0.000943
9.711400	0.000449	-0.000374	0.000355	0.000164	-0.000065	-0.000077	-0.000718	0.000567	0.000040	0.001120	0.000226	0.000207
9.710700	-0.000093	-0.001338	0.000492	-0.000584	-0.000246	-0.000181	0.000800	0.000674	-0.000399	-0.000016	0.000292	0.001295
9.710000	-0.000725	0.000458	-0.001664	-0.000273	0.000207	-0.000991	0.000839	0.000483	-0.000071	-0.000412	0.000302	0.000808
9.709300	-0.000800	0.001221	0.000095	-0.000255	-0.001364	-0.000653	0.001902	0.000048	-0.000910	-0.000651	0.000264	0.000164
9.708600	-0.000041	0.000783	-0.000567	0.000086	-0.001192	-0.000264	0.000309	-0.001088	-0.001294	-0.001133	-0.000757	0.000195
9.707900	0.000265	0.000080	-0.000153	-0.000503	0.000482	-0.000024	-0.000039	-0.000557	-0.000955	-0.000355	-0.000264	-0.000026
9.707200	-0.000967	0.000052	-0.000240	0.000339	0.001348	0.000193	0.000280	-0.000296	0.000382	0.000462	0.000617	-0.000435
9.706500	0.000310	-0.001053	-0.000204	-0.000639	0.000218	0.000959	-0.000134	0.000182	0.000797	-0.000640	0.000805	-0.000491
9.705800	-0.000350	-0.001091	-0.000857	-0.000082	0.000216	0.000883	-0.000275	0.000914	0.000047	-0.001398	0.000183	0.000602
