Collection ID	10825
Type	SpectraCollection
Description	48,VeVe,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20509	20526	20539	20590	20592	20648	20690	20715	20819	20826	20837
Time	48	48	48	48	48	48	48	48	48	48	48
Classification	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe	VeVe
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	20	21	19	24	22	23	44	46	47	45	43
Sample Description											
Weight											
Units of weight											
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11
9.762500	-0.000256	0.000099	0.000674	0.000209	-0.000443	-0.000379	-0.000089	0.000303	0.000264	0.000144	0.000166
9.761800	-0.000744	-0.000767	-0.000312	-0.000188	-0.000518	-0.000624	-0.000031	-0.000319	0.000823	0.001122	0.000203
9.761100	-0.000316	0.000115	0.000084	-0.000920	-0.000398	0.000506	-0.000324	0.000100	0.000121	0.001205	-0.000272
9.760400	0.000105	0.000090	0.000135	-0.000075	-0.000355	-0.000634	-0.001300	0.000010	-0.000250	0.000703	0.000035
9.759700	-0.000219	0.000290	-0.000168	-0.000936	-0.000412	-0.000660	-0.000018	0.000307	0.000267	-0.000040	0.000432
9.759000	-0.000226	-0.001249	-0.000423	-0.000122	0.000393	-0.000657	0.000370	-0.000025	-0.000321	-0.000213	0.000021
9.758300	-0.000263	-0.000987	-0.000048	-0.000061	0.000659	-0.000276	0.000238	0.000052	-0.000209	-0.000317	-0.000796
9.757600	0.000431	0.000831	0.000271	-0.000258	0.000227	0.000041	-0.000153	-0.000230	0.000843	-0.000578	0.000157
9.756900	-0.000018	0.000008	-0.000140	-0.000060	-0.000016	-0.000686	-0.000008	-0.000523	0.000613	-0.000031	-0.000297
9.756200	-0.000581	-0.000837	-0.000517	-0.000109	0.000294	0.000395	-0.000520	-0.000757	0.000382	-0.000794	-0.000441
9.755500	-0.000048	-0.000725	-0.000524	0.000022	-0.000424	0.000300	-0.000399	-0.000477	-0.000079	-0.000323	-0.000054
9.754800	-0.000686	-0.000016	-0.000254	-0.000250	-0.000605	0.000333	-0.000420	-0.000421	0.000032	0.000077	-0.000174
